"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SUP_K17","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5069mil","10375mil","1215.748mil","-2738.709mil","-5069mil","T","270.00","RELAY-SUPPORT_93.11"
"T30","SOT23_3L_REFLOWSOLDERING","10450mil","2618.75mil","10450mil","2618.75mil","10411.614mil","2575.443mil","T","270.00","ZXMN3A01F"
"U6","SOIC_08_E1,27_L150_REFLOWSOLDERING","6418.75mil","2168.75mil","6418.75mil","2168.75mil","6318.75mil","2243.75mil","T","270.00","MIC4426YM"
"U3","SOT23_3L_REFLOWSOLDERING","2620mil","2800mil","2620mil","2800mil","2663.307mil","2761.614mil","T","360.00","NCP803SN308T1G"
"D8","SOT23_3L_REFLOWSOLDERING","1350mil","1956.25mil","1350mil","1956.25mil","1311.614mil","1912.943mil","T","270.00","BAT54C"
"R7","0805_REFLOWSOLDERING_RES","1281.25mil","2075mil","1281.25mil","2075mil","1317.25mil","2075mil","T","180.00","RES_0805_1%_100PPM_10K"
"T2","SOT23_3L_REFLOWSOLDERING","1206.25mil","1956.25mil","1206.25mil","1956.25mil","1244.636mil","1999.557mil","T","90.00","ZXMN3A01F"
"D9","SOT23_3L_REFLOWSOLDERING","1637.5mil","1956.25mil","1637.5mil","1956.25mil","1599.114mil","1912.943mil","T","270.00","BAT54C"
"R8","0805_REFLOWSOLDERING_RES","1568.75mil","2075mil","1568.75mil","2075mil","1604.75mil","2075mil","T","180.00","RES_0805_1%_100PPM_10K"
"T3","SOT23_3L_REFLOWSOLDERING","1493.75mil","1956.25mil","1493.75mil","1956.25mil","1532.136mil","1999.557mil","T","90.00","ZXMN3A01F"
"D11","SOT23_3L_REFLOWSOLDERING","2075mil","1875mil","2075mil","1875mil","2036.614mil","1831.693mil","T","270.00","BAT54C"
