"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"J79","BRESS_FFKDSA1/V2-7,62_P1.3","10312.795mil","300mil","10175mil","93.701mil","10312.795mil","150mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J31","BRESS_FFKDSA1/V2-7,62_P1.3","3412.795mil","-93.701mil","3275mil","-300mil","3412.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J34","BRESS_FFKDSA1/V2-7,62_P1.3","4012.795mil","-93.701mil","3875mil","-300mil","4012.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J37","BRESS_FFKDSA1/V2-7,62_P1.3","4612.795mil","-93.701mil","4475mil","-300mil","4612.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J40","BRESS_FFKDSA/V2-7,62_P1.3","5212.795mil","-93.701mil","5075mil","-300mil","5212.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA/V2"
"J43","BRESS_FFKDS/V2-5,08_P1.3","5512.795mil","-93.701mil","5375mil","-300mil","5512.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J45","BRESS_FFKDS/V2-5,08_P1.3","5712.795mil","-93.701mil","5575mil","-300mil","5712.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J48","BRESS_FFKDSA/V2-7,62_P1.3","5912.795mil","-93.701mil","5775mil","-300mil","5912.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA/V2"
"J53","BRESS_FFKDSA1/V2-7,62_P1.3","6812.795mil","-93.701mil","6675mil","-300mil","6812.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J56","BRESS_FFKDSA1/V2-7,62_P1.3","7412.795mil","-93.701mil","7275mil","-300mil","7412.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J59","BRESS_FFKDSA/V2-7,62_P1.3","8012.795mil","-93.701mil","7875mil","-300mil","8012.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA/V2"
"J62","BRESS_FFKDS/V2-5,08_P1.3","8312.795mil","-93.701mil","8175mil","-300mil","8312.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J64","BRESS_FFKDS/V2-5,08_P1.3","8512.795mil","-93.701mil","8375mil","-300mil","8512.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J67","BRESS_FFKDSA/V2-7,62_P1.3","8712.795mil","-93.701mil","8575mil","-300mil","8712.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA/V2"
"J69","BRESS_FFKDSA1/V2-7,62_P1.3","9012.795mil","-93.701mil","8875mil","-300mil","9012.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J72","BRESS_FFKDSA/V2-7,62_P1.3","9612.795mil","-93.701mil","9475mil","-300mil","9612.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA/V2"
"J75","BRESS_FFKDS/V2-5,08_P1.3","9912.795mil","-93.701mil","9775mil","-300mil","9912.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J77","BRESS_FFKDS/V2-5,08_P1.3","10112.795mil","-93.701mil","9975mil","-300mil","10112.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J80","BRESS_FFKDS/V2-5,08_P1.3","10312.795mil","-93.701mil","10175mil","-300mil","10312.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J82","BRESS_FFKDSA1/V2-7,62_P1.3","10512.795mil","-93.701mil","10375mil","-300mil","10512.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J1","MICRO-MATE-N-LOK_WURTH+TYCO_2X02_D","-25mil","1925.591mil","-25mil","1944.094mil","-84.055mil","2003.15mil","T","180.00","MICRO-MATE-N-LOK_WURTH_2X02_D"
"J2","MICRO-MATE-N-LOK_WURTH+TYCO_2X02_D","-25mil","1135.827mil","-25mil","1117.323mil","34.055mil","1058.268mil","T","360.00","MICRO-MATE-N-LOK_WURTH_2X02_D"
"K4","RELAY_FINDER_40.61_+SUPPORT_95","2075mil","1148.819mil","2075mil","1162.599mil","1927.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"K5","RELAY_FINDER_40.61_+SUPPORT_95","2675mil","1150.591mil","2675mil","1164.37mil","2527.362mil","1642.717mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"K6","RELAY_FINDER_40.61_+SUPPORT_95","3275mil","1148.819mil","3275mil","1162.599mil","3127.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"K7","RELAY_FINDER_40.61_+SUPPORT_95","3875mil","1148.819mil","3875mil","1162.599mil","3727.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
"K8","RELAY_FINDER_40.61_+SUPPORT_95","4475mil","1148.819mil","4475mil","1162.599mil","4327.362mil","1640.945mil","T","0.00","RELAY_12VDC_1RT_BI_40.61.6"
